"t_stats"	"t_test_p"	"padj"
"1CMET2-PWY"	0.222592116746195	0.825230757827756	0.998204944458905
"ANAEROFRUCAT-PWY"	0.897026306313071	0.376847068923216	0.944598364781114
"ANAGLYCOLYSIS-PWY"	-0.346311716275091	0.731535332860719	0.998204944458905
"ARO-PWY"	0.13426720367965	0.894034358100242	0.998204944458905
"ASPASN-PWY"	0.0298890740142029	0.976379422457806	0.998204944458905
"BRANCHED-CHAIN-AA-SYN-PWY"	-0.849923514766428	0.405292161684104	0.944598364781114
"CALVIN-PWY"	1.11484906457346	0.275367405669364	0.944598364781114
"COA-PWY-1"	-1.47760065542906	0.153778667525011	0.944598364781114
"COA-PWY"	-0.345073123892351	0.732435506622961	0.998204944458905
"COMPLETE-ARO-PWY"	0.0119683422532817	0.99052709578123	0.998204944458905
"DTDPRHAMSYN-PWY"	-0.881658209378456	0.387236123597636	0.944598364781114
"FASYN-ELONG-PWY"	0.0265975761594827	0.978988181608886	0.998204944458905
"FASYN-INITIAL-PWY"	0.0525878061415502	0.958384661907733	0.998204944458905
"GLUCONEO-PWY"	0.739255834948712	0.464996165438425	0.952675070654334
"GLYCOLYSIS"	1.47130742141698	0.151428770505941	0.944598364781114
"HISTSYN-PWY"	1.23973004147243	0.224677993598484	0.944598364781114
"HSERMETANA-PWY"	-0.296114676754484	0.769203493650976	0.998204944458905
"ILEUSYN-PWY"	1.3175740870405	0.197607994122039	0.944598364781114
"NONMEVIPP-PWY"	0.675880136903653	0.503994397040332	0.997111313658856
"NONOXIPENT-PWY"	-0.00996419708608834	0.992110544971241	0.998204944458905
"PANTO-PWY"	-0.594183807319474	0.557080803240639	0.998204944458905
"PANTOSYN-PWY"	0.802373052619241	0.428868303350816	0.944598364781114
"PENTOSE-P-PWY"	1.32452421535425	0.195530708945738	0.944598364781114
"PEPTIDOGLYCANSYN-PWY"	0.115061802926609	0.909173622350159	0.998204944458905
"PWY-1042"	-1.28722817643297	0.210942612399548	0.944598364781114
"PWY-2941"	0.00226693837232762	0.998204944458905	0.998204944458905
"PWY-2942"	0.216564917372741	0.82990246793515	0.998204944458905
"PWY-3001"	1.32852975744849	0.194198521963479	0.944598364781114
"PWY-3841"	0.119168833285683	0.905982601069066	0.998204944458905
"PWY-4242"	-0.229416143833156	0.82055253933215	0.998204944458905
"PWY-5097"	-1.55569581474246	0.133625552442464	0.944598364781114
"PWY-5103"	0.114347177101088	0.90974869317907	0.998204944458905
"PWY-5484"	1.60796886551055	0.118736582661555	0.944598364781114
"PWY-5659"	-0.101522119302672	0.919786885746157	0.998204944458905
"PWY-5667"	-0.932262202862674	0.358914596606918	0.944598364781114
"PWY-5686"	0.870167480831588	0.393298804171058	0.944598364781114
"PWY-5695"	0.0881592950759445	0.930289302016663	0.998204944458905
"PWY-5973"	1.18478128601285	0.247544155539615	0.944598364781114
"PWY-6121"	0.514856709818801	0.611040378031601	0.998204944458905
"PWY-6122"	-1.35536611470675	0.188809983877784	0.944598364781114
"PWY-6123"	-0.840967723704009	0.407084692618064	0.944598364781114
"PWY-6124"	0.0609399229787383	0.951839669180022	0.998204944458905
"PWY-6125"	0.835472192216985	0.411703950527108	0.944598364781114
"PWY-6126"	-1.19801398448979	0.241027086420849	0.944598364781114
"PWY-6147"	0.900072406091145	0.375287642274346	0.944598364781114
"PWY-6151"	0.529773277131641	0.600105741546048	0.998204944458905
"PWY-6163"	-0.0755140067687231	0.940342512087589	0.998204944458905
"PWY-6168"	0.325608569496955	0.746779365368921	0.998204944458905
"PWY-6277"	-0.787828469774383	0.43715404784832	0.944598364781114
"PWY-6385"	0.744033016668944	0.463408879302736	0.952675070654334
"PWY-6386"	-1.29710600055708	0.20770544597306	0.944598364781114
"PWY-6387"	-0.625564048112386	0.536464340993576	0.998204944458905
"PWY-6609"	-1.68354281318326	0.10520557268732	0.944598364781114
"PWY-6700"	0.474930301972377	0.638082271362647	0.998204944458905
"PWY-6703"	-0.227868785914782	0.821767813873787	0.998204944458905
"PWY-6897"	0.876019613977778	0.388134628830012	0.944598364781114
"PWY-7111"	1.57934670983645	0.126193208179558	0.944598364781114
"PWY-7199"	0.481063732090802	0.634851897726878	0.998204944458905
"PWY-7208"	-0.0241878901533154	0.980854519756653	0.998204944458905
"PWY-7219"	-0.793313109431336	0.434017770210243	0.944598364781114
"PWY-7220"	0.287995486980441	0.775624052212619	0.998204944458905
"PWY-7221"	0.142925510400395	0.887449721488717	0.998204944458905
"PWY-7222"	-0.344905849252207	0.732802662443203	0.998204944458905
"PWY-7228"	-0.968487800947125	0.339983972842651	0.944598364781114
"PWY-7229"	0.00723550281255159	0.994275813662534	0.998204944458905
"PWY-724"	1.29130296350367	0.20735492268133	0.944598364781114
"PWY-7357"	-0.304994844350759	0.762394568705051	0.998204944458905
"PWY-7539"	-1.17627771590578	0.252918617512942	0.944598364781114
"PWY-7663"	1.17134239885532	0.252777482297275	0.944598364781114
"PWY-841"	-0.301559121747539	0.764926859606855	0.998204944458905
"PWY0-1296"	0.376729099876461	0.708949876191814	0.998204944458905
"PWY0-1319"	-0.999027758181585	0.327106470833584	0.944598364781114
"PWY0-1586"	0.0401410347384616	0.968233823400706	0.998204944458905
"PWY0-162"	1.40160913819847	0.172744072107416	0.944598364781114
"PWY66-409"	-0.374790981401771	0.710349503686217	0.998204944458905
"PYRIDNUCSYN-PWY"	-1.18284768913943	0.247103638274124	0.944598364781114
"RHAMCAT-PWY"	-0.588064066035301	0.561161418310349	0.998204944458905
